antibody,source,reactivity,WT RBD ELISA,BA.5 RBD ELISA,XBB.1.5 RBD ELISA,JN.1 RBD ELISA,VH gene,DH gene,JH gene,H isotype,VL gene,JL gene,VH SHM (nt),VL SHM (nt),VH SHM ratio,VL SHM ratio,D614G,BA.1,BA.2,BA.5,XBB.1.5,HK.3.1,BA.2.86,JN.1,JN.1+F456L,KP.2,JN.1+F456L+A475V,KP.3,KP.3+A475V,epitope group
BD55-1284,WT convalescents,WT,3.31,N.D.,N.D.,N.D.,IGHV5-10-1,IGHD2-21,IGHJ4,IGHG1,IGKV1-33,IGKJ5,22.0,25.0,0.0613,0.0776,1.46,1.75,1.64,4.69,2.056,2.276,2.923,3.259,N.D.,N.D.,N.D.,3.992,N.D.,E3
BD55-1472,WT convalescents,WT,4.28,N.D.,N.D.,N.D.,IGHV2-5,IGHD3-22,IGHJ4,IGHG1,IGKV1-12,IGKJ5,17.0,15.0,0.0459,0.0475,2.34,0.654,0.4,0.329,1.777,1.8898,1.062,3.106,N.D.,N.D.,N.D.,3.397,N.D.,E1/E2.1
BD55-3372,SARS exposure,WT,3.35,N.D.,N.D.,N.D.,IGHV3-21,IGHD3-9,IGHJ4,IGHG1,IGLV1-40,IGLJ2,23.0,18.0,0.0642,0.0529,0.0068,0.0203,0.0322,0.0148,0.0187,0.016,0.0094,0.0321,N.D.,N.D.,N.D.,0.025,N.D.,F3
BD55-4637,SARS exposure,WT,3.01,N.D.,N.D.,N.D.,IGHV2-5,IGHD3/OR15-3a,IGHJ3,IGHG1,IGLV1-44,IGLJ2,26.0,17.0,0.0686,0.0514,0.0201,0.0227,0.0225,0.0243,0.023,0.0439,0.0978,0.017,N.D.,N.D.,N.D.,0.0303,N.D.,D3
BD55-5300,SARS exposure,WT,3.42,N.D.,N.D.,N.D.,IGHV1-69,IGHD2-21,IGHJ4,IGHG1,IGKV1-33,IGKJ2,26.0,12.0,0.0691,0.0369,0.0051,0.0078,0.0066,0.0055,0.0212,0.0331,0.0464,0.0044,N.D.,N.D.,N.D.,0.0043,N.D.,F3
BD55-5483,SARS exposure,WT,3.34,N.D.,N.D.,N.D.,IGHV1-69,IGHD3-22,IGHJ3,IGHG1,IGKV1-33,IGKJ2,30.0,21.0,0.0798,0.0646,0.0138,0.0065,0.0133,0.0039,0.0074,0.0041,0.0011,0.008,N.D.,N.D.,N.D.,0.0087,N.D.,F3
BD55-5514,SARS exposure,WT,3.37,N.D.,N.D.,N.D.,IGHV1-69,IGHD4-17,IGHJ3,IGHG1,IGKV1-33,IGKJ2,21.0,7.0,0.0559,0.0215,0.0107,0.0017,0.0072,0.005,0.0061,0.0106,0.0066,0.0055,N.D.,N.D.,N.D.,0.007,N.D.,F3
BD55-5630,SARS exposure,WT,3.25,N.D.,N.D.,N.D.,IGHV1-8,IGHD3-10,IGHJ6,IGHG1,IGKV1-39,IGKJ3,10.0,19.0,0.0262,0.059,1.22,1.8,0.659,2.22,3.967,4.059,0.8595,0.7365,N.D.,N.D.,N.D.,0.6346,N.D.,E3
BD55-616,WT convalescents,WT,4.22,N.D.,N.D.,N.D.,IGHV1-46,IGHD3-9,IGHJ4,IGHG1,IGKV3-15,IGKJ2,12.0,2.0,0.0314,0.0061,0.0069,0.0081,0.0098,inf,inf,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD58-0199,BA.1 BTI,specific,0.055,N.D.,N.D.,N.D.,IGHV5-51,IGHD3-22,IGHJ4,IGHG1,IGLV3-25,IGLJ2,3.0,4.0,0.0082,0.0122,inf,0.0017,0.5841,0.3218,0.58,2.476,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0206,BA.1 BTI,specific,0.12,N.D.,N.D.,N.D.,IGHV3-21,IGHD3-22,IGHJ4,IGHG1,IGLV1-44,IGLJ3,7.0,4.0,0.0188,0.0121,inf,0.0339,3.674,2.732,2.03,2.999,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0207,BA.1 BTI,specific,0.17,N.D.,N.D.,N.D.,IGHV2-70,IGHD3-10,IGHJ6,IGHG3,IGLV3-25,IGLJ2,5.0,6.0,0.0137,0.0185,inf,0.0033,0.0013,0.0029,0.0892,0.1177,0.0619,0.143,N.D.,N.D.,N.D.,0.1356,N.D.,D3
BD58-0265,BA.1 BTI,specific,0.067,N.D.,N.D.,N.D.,IGHV2-70,IGHD4-17,IGHJ6,IGHG3,IGLV3-25,IGLJ2,4.0,10.0,0.0109,0.0305,inf,0.0018,0.05,0.0161,inf,0.109,3.08,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0278,BA.1 BTI,specific,0.056,N.D.,N.D.,N.D.,IGHV2-70,IGHD4-17,IGHJ6,IGHG1,IGLV3-25,IGLJ3,7.0,11.0,0.0191,0.0338,inf,0.0137,0.4794,0.4079,0.3454,0.207,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0301,BA.1 BTI,specific,0.12,N.D.,N.D.,N.D.,IGHV4-30-4,IGHD4-17,IGHJ4,IGHG1,IGLV2-14,IGLJ2,0.0,7.0,0.0,0.021,inf,0.0005,0.0023,1.637,1.345,3.234,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD58-0352,BA.1 BTI,specific,0.058,N.D.,N.D.,N.D.,IGHV4-30-4,IGHD3-22,IGHJ4,IGHG1,IGLV1-44,IGLJ3,4.0,5.0,0.0106,0.0151,inf,0.0046,0.0257,0.0083,0.012,0.0084,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0393,BA.1 BTI,specific,0.071,N.D.,N.D.,N.D.,IGHV2-70,IGHD6-19,IGHJ4,IGHG1,IGKV1-33,IGKJ4,9.0,17.0,0.0251,0.0533,inf,0.0096,0.8625,inf,inf,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D4
BD58-0427,BA.2 BTI,specific,0.23,N.D.,N.D.,N.D.,IGHV5-51,IGHD3-10,IGHJ6,IGHG1,IGKV1-39,IGKJ1,6.0,5.0,0.0161,0.0154,inf,inf,0.0017,0.0054,0.639,0.5799,0.0023,0.0046,N.D.,N.D.,N.D.,0.0085,N.D.,F3
BD58-0430,BA.2 BTI,specific,0.049,N.D.,N.D.,N.D.,IGHV4-39,IGHD6-13,IGHJ3,IGHG1,IGKV3-20,IGKJ4,6.0,2.0,0.0166,0.0061,inf,inf,0.0208,0.0162,0.218,inf,4.082,0.2023,N.D.,N.D.,N.D.,inf,N.D.,F3
BD58-0459,BA.2 BTI,specific,0.092,N.D.,N.D.,N.D.,IGHV4-31,IGHD3-10,IGHJ5,IGHG1,IGLV1-40,IGLJ2,7.0,4.0,0.0182,0.0122,inf,0.0043,0.0006,0.0005,0.0024,0.008,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0460,BA.2 BTI,specific,0.097,N.D.,N.D.,N.D.,IGHV3-48,IGHD3-9,IGHJ3,IGHG1,IGKV3-11,IGKJ2,3.0,1.0,0.0083,0.0031,inf,0.0018,0.0048,0.0217,0.052,0.0653,0.0837,0.2173,N.D.,N.D.,N.D.,inf,N.D.,D4
BD58-0497,BA.2 BTI,specific,0.11,N.D.,N.D.,N.D.,IGHV1-8,IGHD3-22,IGHJ4,IGHG1,IGLV2-11,IGLJ1,6.0,8.0,0.016,0.0246,inf,0.118,0.177,0.193,0.388,0.1321,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0499,BA.2 BTI,specific,0.047,N.D.,N.D.,N.D.,IGHV4-61,IGHD6-19,IGHJ4,IGHG1,IGKV3-11,IGKJ3,12.0,1.0,0.0317,0.0031,inf,inf,0.0045,0.141,0.21,inf,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,F3
BD58-0513,BA.2 BTI,specific,0.23,N.D.,N.D.,N.D.,IGHV5-51,IGHD4-17,IGHJ4,IGHG1,IGKV1-39,IGKJ2,9.0,9.0,0.0241,0.028,inf,inf,0.0007,0.0012,0.1132,0.039,0.0308,0.0262,N.D.,N.D.,N.D.,0.1621,N.D.,F3
BD58-0516,BA.2 BTI,specific,0.054,N.D.,N.D.,N.D.,IGHV5-51,IGHD6-13,IGHJ5,IGHG1,IGKV1-39,IGKJ3,10.0,0.0,0.027,0.0,inf,inf,0.0006,0.0006,0.0153,0.0145,0.0021,0.0049,N.D.,N.D.,N.D.,0.0117,N.D.,F3
BD58-0517,BA.2 BTI,specific,0.073,N.D.,N.D.,N.D.,IGHV3-21,IGHD3-16,IGHJ4,IGHG1,IGLV1-44,IGLJ3,9.0,10.0,0.0236,0.0302,inf,0.0154,0.001,0.0008,0.0453,0.3213,0.075,0.0398,N.D.,N.D.,N.D.,3.971,N.D.,F3
BD58-0531,BA.2 BTI,specific,0.14,N.D.,N.D.,N.D.,IGHV3-15,IGHD5-18,IGHJ6,IGHG1,IGLV3-25,IGLJ2,7.0,8.0,0.0188,0.0246,inf,0.0076,0.323,0.0902,0.0894,0.1136,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0537,BA.2 BTI,specific,0.15,N.D.,N.D.,N.D.,IGHV4-39,IGHD1-26,IGHJ6,IGHG1,IGLV1-40,IGLJ2,13.0,5.0,0.0344,0.015,inf,0.0804,0.0011,0.0037,0.0262,1.011,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,F3
BD58-0552,BA.2 BTI,specific,0.088,N.D.,N.D.,N.D.,IGHV2-5,IGHD3-10,IGHJ4,IGHG1,IGLV1-36,IGLJ3,12.0,3.0,0.0327,0.0091,inf,0.0014,0.0005,0.0022,0.0038,0.0018,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,D3
BD58-0573,BA.2 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-53,N.D.,IGHJ6,IGHG1,IGKV1-33,IGKJ2,13.0,9.0,0.0374,0.028,0.12,0.0006,0.001,0.0031,0.8364,inf,0.9396,1.624,inf,inf,inf,inf,inf,A1
BD57-0015,BA.1 BTI,cross,4.11,N.D.,N.D.,N.D.,IGHV3-33,IGHD6-13,IGHJ3,IGHG1,IGKV1-39,IGKJ2,17.0,14.0,0.0456,0.0435,0.0024,0.0867,0.0033,0.219,0.0188,inf,0.0154,inf,N.D.,N.D.,N.D.,inf,N.D.,D2
BD57-0021,BA.1 BTI,cross,4.49,N.D.,N.D.,N.D.,IGHV3-66,IGHD1-26,IGHJ4,IGHG1,IGKV3-20,IGKJ2,19.0,3.0,0.0535,0.0091,0.0169,0.0127,0.0139,0.01,0.154,inf,0.0154,inf,inf,inf,inf,inf,inf,A1
BD57-0024,BA.1 BTI,cross,4.01,N.D.,N.D.,N.D.,IGHV4-39,IGHD3-22,IGHJ4,IGHG1,IGKV3-15,IGKJ2,24.0,5.0,0.0611,0.0152,0.0042,0.01,0.0081,0.0091,1.19,inf,0.036,inf,N.D.,N.D.,N.D.,inf,N.D.,A1
BD57-0027,BA.1 BTI,cross,4.41,N.D.,N.D.,N.D.,IGHV3-66,IGHD1-26,IGHJ4,IGHG1,IGKV3-20,IGKJ2,11.0,3.0,0.031,0.0091,0.0143,0.0212,0.0161,0.0139,0.296,inf,0.0709,inf,inf,inf,inf,inf,inf,A1
BD57-0029,BA.1 BTI,cross,4.35,N.D.,N.D.,N.D.,IGHV3-33,IGHD3-22,IGHJ6,IGHG1,IGKV2-28,IGKJ2,13.0,3.0,0.0344,0.009,0.0041,0.069,0.0797,0.0714,0.0431,inf,0.0034,0.0055,N.D.,N.D.,N.D.,0.0564,N.D.,A2
BD57-0033,BA.1 BTI,cross,4.38,N.D.,N.D.,N.D.,IGHV3-66,IGHD4-17,IGHJ4,IGHG1,IGKV3-20,IGKJ2,16.0,7.0,0.0455,0.0222,0.0236,0.0121,0.009,0.0077,0.0128,inf,0.0048,0.0192,0.108,N.D.,0.2394,0.0417,0.3457,A1
BD57-0034,BA.1 BTI,cross,4.01,N.D.,N.D.,N.D.,IGHV3-9,IGHD6-13,IGHJ6,IGHG1,IGLV2-14,IGLJ2,12.0,11.0,0.0317,0.0332,0.01,0.0269,0.0308,0.174,0.7497,0.7942,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-0041,BA.1 BTI,cross,4.34,N.D.,N.D.,N.D.,IGHV3-9,IGHD6-19,IGHJ3,IGHG1,IGLV3-25,IGLJ2,12.0,6.0,0.0314,0.0185,0.0285,0.0308,0.0321,1.75,0.5315,0.712,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-0053,BA.1 BTI,cross,4.5,N.D.,N.D.,N.D.,IGHV3-9,IGHD3-22,IGHJ6,IGHG1,IGKV2-28,IGKJ2,15.0,3.0,0.0397,0.0089,0.0348,0.019,0.0151,0.249,0.157,0.1726,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-0056,BA.1 BTI,cross,4.39,N.D.,N.D.,N.D.,IGHV3-9,IGHD2-15,IGHJ3,IGHG1,IGKV1-39,IGKJ4,24.0,12.0,0.0619,0.0373,0.003,0.0011,0.0013,0.12,0.0714,inf,0.0193,0.8338,N.D.,N.D.,N.D.,inf,N.D.,B
BD57-0066,BA.1 BTI,cross,4.46,N.D.,N.D.,N.D.,IGHV3-21,IGHD2-15,IGHJ4,IGHG1,IGLV6-57,IGLJ2,5.0,9.0,0.0137,0.0269,1.01,1.02,1.27,0.996,0.359,0.3243,0.2222,0.2504,N.D.,N.D.,N.D.,0.0854,N.D.,F1.2
BD57-0096,BA.1 BTI,cross,4.31,N.D.,N.D.,N.D.,IGHV1-69,IGHD6-13,IGHJ2,IGHG1,IGLV1-40,IGLJ2,14.0,9.0,0.0375,0.0269,0.0605,0.271,0.275,0.255,0.7936,0.8717,inf,inf,N.D.,N.D.,N.D.,inf,N.D.,E1/E2.1
BD57-0108,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-53,IGHD4-17,IGHJ4,IGHG1,IGKV1-5,IGKJ1,26.0,17.0,0.0743,0.0548,0.0146,0.0297,0.0165,0.0195,0.0879,inf,0.0108,inf,inf,inf,inf,inf,inf,A1
BD57-0116,BA.5 BTI,specific,2.64,5.02,N.D.,N.D.,IGHV4-30-4,IGHD3-10,IGHJ4,IGHG1,IGLV2-14,IGLJ2,5.0,4.0,0.0139,0.012,inf,inf,0.0191,0.0144,0.0217,0.0242,0.0289,0.044,N.D.,0.007572,N.D.,0.0405,N.D.,F3
BD57-0129,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,IGHD1-26,IGHJ4,IGHA1,IGKV3-15,IGKJ2,16.0,5.0,0.0451,0.0152,0.0057,0.0028,0.0029,0.0029,0.0078,3.598,0.0047,1.977,1.754,N.D.,inf,inf,inf,A1
BD57-0134,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-53,IGHD6-6,IGHJ4,IGHG1,IGKV3-15,IGKJ2,15.0,9.0,0.0419,0.0274,0.0044,0.0064,0.0076,0.0042,0.0115,inf,0.0412,inf,inf,inf,inf,inf,inf,A1
BD57-0149,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD3-16,IGHJ4,IGHG1,IGKV1-39,IGKJ1,22.0,4.0,0.058,0.0124,0.0007,inf,inf,5.86,1.05,inf,inf,inf,inf,inf,inf,inf,N.D.,D4
BD57-0165,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,IGHD3-22,IGHJ4,IGHA1,IGKV1-9,IGKJ5,23.0,4.0,0.0653,0.0124,0.0044,0.0044,0.006,0.0071,0.894,inf,0.5491,inf,inf,inf,inf,inf,inf,A1
BD57-0170,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD2-2,IGHJ3,IGHG1,IGKV4-1,IGKJ2,23.0,8.0,0.0602,0.0233,0.0007,0.0007,0.0007,0.0005,0.223,0.0938,inf,inf,inf,inf,inf,inf,N.D.,D2
BD57-0194,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-9,IGHD3-10,IGHJ4,IGHG1,IGKV1-33,IGKJ4,30.0,14.0,0.0767,0.0435,0.0142,0.174,0.12,0.143,0.942,0.4749,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0195,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV4-31,IGHD5-18,IGHJ5,N.D.,IGLV1-51,IGLJ2,14.0,15.0,0.0388,0.0456,inf,1.2,2.04,2.85,0.898,0.8248,inf,inf,inf,inf,inf,inf,N.D.,E2.2
BD57-0206,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-33,IGHD6-19,IGHJ4,IGHG3,IGKV2-30,IGKJ1,20.0,13.0,0.0554,0.0386,inf,1.19,1.09,0.768,0.422,0.4906,inf,inf,inf,inf,inf,inf,N.D.,E2.2
BD57-0210,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-53,IGHD3-3,IGHJ3,IGHG1,IGLV6-57,IGLJ3,18.0,5.0,0.0507,0.0148,0.197,1.31,1.85,1.65,1.22,2.035,1.344,1.408,0.529,0.4373,0.5214,1.414,N.D.,F1.2
BD57-0225,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD2-2,IGHJ3,IGHG1,IGKV4-1,IGKJ2,26.0,9.0,0.0681,0.0262,0.0005,0.0008,0.0013,0.0023,0.5989,0.5969,4.715,6.0808,inf,inf,inf,4.5258,N.D.,D2
BD57-0232,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ5,IGHG1,IGLV1-40,IGLJ2,13.0,6.0,0.0349,0.018,0.246,0.0624,0.0305,0.429,1.053,2.844,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0234,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD1-26,IGHJ6,IGHG1,IGLV1-40,IGLJ2,28.0,15.0,0.0753,0.0449,0.179,0.0462,0.0318,1.55,0.9261,0.5782,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0243,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,IGHD2-15,IGHJ3,IGHG1,IGKV3-20,IGKJ2,18.0,5.0,0.0507,0.0152,0.0043,0.0048,0.0081,0.0125,1.596,inf,0.5973,inf,inf,inf,inf,inf,inf,A1
BD57-0271,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,N.D.,IGHJ3,IGHG1,IGKV1-9,IGKJ1,21.0,6.0,0.0587,0.0185,0.0032,0.0044,0.0069,0.0096,1.97,inf,0.0429,inf,inf,inf,inf,inf,inf,A1
BD57-0295,BA.5 BTI,cross,4.58,4.98,N.D.,N.D.,IGHV5-51,IGHD3-10,IGHJ4,IGHG1,IGLV2-8,IGLJ2,12.0,11.0,0.0335,0.0332,1.31,0.426,1.37,0.735,0.415,0.4294,inf,inf,N.D.,0.9519,N.D.,inf,N.D.,E3
BD57-0297,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD2-2,IGHJ3,IGHG1,IGKV4-1,IGKJ2,25.0,8.0,0.0654,0.0233,0.0012,0.0014,0.0008,0.0009,0.3458,0.3853,inf,inf,inf,inf,inf,inf,N.D.,D2
BD57-0309,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,N.D.,IGHJ6,IGHG1,IGKV1-9,IGKJ4,22.0,10.0,0.0616,0.0326,0.0082,0.0101,0.0053,0.0035,0.0128,1.595,0.0139,0.0055,0.8845,N.D.,inf,inf,inf,A1
BD57-0324,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-9,IGHD3-10,IGHJ4,IGHG1,IGKV1-33,IGKJ4,16.0,6.0,0.0409,0.0186,0.032,0.105,0.0851,0.159,0.116,1.054,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0325,BA.5 BTI,specific,0.028,4.57,N.D.,N.D.,IGHV4-39,IGHD6-13,IGHJ4,IGHA1,IGLV1-40,IGLJ3,11.0,5.0,0.0297,0.0148,inf,inf,0.878,0.0008,0.0062,1.941,inf,inf,inf,inf,inf,inf,N.D.,A2
BD57-0331,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ4,IGHG1,IGLV1-40,IGLJ3,23.0,8.0,0.0617,0.024,0.166,0.0399,0.0452,0.432,0.393,0.4127,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0338,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-24,IGHD3-22,IGHJ4,IGHG1,IGKV3-20,IGKJ5,19.0,18.0,0.0505,0.0554,0.0278,0.0217,0.0116,0.0033,0.404,1.014,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0360,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-9,IGHD3-10,IGHJ4,IGHG1,IGKV1-33,IGKJ4,31.0,13.0,0.0793,0.0404,0.0152,0.0101,0.0112,0.0413,0.132,0.6374,4.185,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0370,BA.5 BTI,specific,0.1,4.82,N.D.,N.D.,IGHV4-39,IGHD4-17,IGHJ5,IGHG1,IGLV1-40,IGLJ3,3.0,4.0,0.0081,0.012,inf,inf,0.0628,0.0011,0.0061,0.2374,inf,inf,inf,inf,inf,inf,N.D.,F3
BD57-0372,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-66,IGHD3-10,IGHJ4,IGHG1,IGKV1-33,IGKJ2,20.0,15.0,0.0554,0.0466,0.0048,0.0029,0.003,0.0054,1.08,1.078,0.2629,0.7431,4.559,N.D.,inf,inf,inf,A1
BD57-0384,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ5,IGHG1,IGLV1-40,IGLJ2,19.0,8.0,0.0509,0.024,0.636,0.2797,0.2825,0.7396,4.621,4.71,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0389,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-30,IGHD6-13,IGHJ4,IGHG1,IGKV1-39,IGKJ4,13.0,17.0,0.0351,0.0528,inf,1.49,3.16,3.76,0.667,0.639,2.966,3.258,inf,inf,inf,3.186,N.D.,E2.2
BD57-0391,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV1-69,IGHD5-12,IGHJ5,IGHG1,IGLV1-40,IGLJ2,14.0,4.0,0.0375,0.012,0.2716,0.0579,0.0424,0.2354,0.253,inf,inf,inf,inf,inf,inf,inf,N.D.,E1/E2.1
BD57-0394,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV3-53,IGHD2-8,IGHJ4,IGHG1,IGKV1-33,IGKJ2,30.0,17.0,0.0824,0.0523,0.0061,0.0029,0.0046,0.0037,0.0347,inf,0.188,0.1665,8.895,N.D.,inf,inf,inf,A1
BD57-0399,BA.5 BTI,cross,N.D.,N.D.,N.D.,N.D.,IGHV2-5,IGHD5-24,IGHJ4,IGHG1,IGKV1-39,IGKJ4,11.0,16.0,0.0297,0.0502,0.0101,0.703,0.0566,0.0616,0.488,0.2311,1.299,4.73,N.D.,1.0976,N.D.,4.75,N.D.,F3
BD57-0416,BA.5 BTI,specific,2.47,4.58,N.D.,N.D.,IGHV2-5,IGHD6-13,IGHJ4,IGHG1,IGKV3D-15,IGKJ3,5.0,3.0,0.0133,0.0093,inf,inf,0.0471,0.0426,0.11,0.7696,inf,inf,inf,inf,inf,inf,N.D.,F3
